Name,Designation,Details
Ms. Sonu Gupta,Assistant Professor. Deputy Director & TPO,"Biography
Education
MCA from Banasthali Vidyapith, Rajasthan
B.Sc (Computer Science) from Jai Narain Vyas University, Jodhpur
Honors & Awards
Won 1st prize as a ""Best Research Paper Award"" in International Conference on Advances in Information Technology & Management (ICAIM-2017).
Won ""Best Educational Quality Enhancement Team President Award 2007"" 2nd prize for ""Students Academic Performance"" organized by NCQM, Mumbai.
Teaching
Current Courses
Distributed Computing and Cloud Computing
Data Structures
Database Management System
Data Science
Previous Courses
Operating System
Object Oriented Programming Languages – C++
Distributed Systems
Project Management
Soft Skill Development"
Dr. Rajesh Kapoor,Professor,"Biography
Education
PhD – Science Technology & Society Studies
M Tech – Computer Science and Data Processing
B Tech – Electronics Teaching
Publication
Research
""Design of a Model for Accruing Social Value through Data Analytics"", paper accepted for presentation in International Conference on Business Models and Social Entrepreneurship at TISS, Mumbai on Jan 16-18, 2019
""A Study of The Components of State-of-The-Art Agro-Based Management Information Systems in India"", Journal of Computer Technology & Applications, Vol 9, Issue 2 Aug-18
Logistician Dilemma: Machine Learning to the Rescue Magazine DefInsights – Sugosha Newsletter Aug 2018 Aug-18
The New Kid on the Block of Equipment Maintenance: Predictive Learning Magazine DefInsights – Sugosha Newsletter Sep2018 Sep 1
""Risk and Values: Resolving the Social Dilemmas Arising From the World Wide Web"" STS Conference Graz, Austria 07-08 May 2018, 10.3217/978-3-85125-625-3 ISBN: 978-
""A Stochastic Model to Enhance Information Security in Software Development through Risk Management"" International Journal of Engineering Science Invention Research & Development, Volume 4, Issue 4,  October 2017
""Use of the Balanced Scorecard for IT Risk Management"", ISACA Journal, Vol 5, September 2010
""Implementation of Service Oriented Architecture"", e-Business The ICFAI University Press, February 2006
""Indian ITES Industry: A Quality Perspective"" e-Business, The ICFAI University Press, August 2005"
Dr. Ashwini Renavikar,Professor,"Biography
Education
B.Sc., MCA, CSQA, PhD, Pursuing Post Doctorate
Experience : Total 25 years of experience (Education, Research and Industry)
Subject areas: Software Engineering and Quality Assurance, Big data analytics, AI and ML, Advanced databases, MIS
PhD guide for Samarkand State University (Uzbekistan) and UNICAF, European University. PhD thesis evaluator and examiner for Tilak Maharashtra Vidyapeeth (Faculty of computer Science)"
Dr. Padma Mishra,Associate Professor,
Dr. Sonal Sharma,Associate Professor,
Ms. Rashmi Vipat,Assistant Professor & Examination Incharge,"Biography
Education
MCA from Rajiv Gandhi Proudyogiki Vishwavidyalaya
B.Sc. (Electronics) from DAVV, Indore
Teaching
Current Courses
Big Data Analytics & Visualization
Mathematical Foundation of Computer Science I
Mathematical Foundation of Computer Science II
Previous Courses
Advanced Database Techniques
Computer Organization and Architecture
Database Management System
Decision Making & Mathematical Modeling
Discrete Mathematics"
Mr. Shirshendu Maitra,Assistant Professor & HOD Academics,"Biography
Education
PhD candidate
MCA
MBA in Fiance and system (Full Time)
Teaching
Current Courses
Image Processing
Previous Courses
Data Mining"
Ms. Aprajita Singh,Assistant Professor,
Ms. Rupali Jadhav,Assistant Professor & IQAC Coordinator,
Mr. Brijesh Pandey,Assistant Professor & TPO,
Ms. Kinjal Doshi,Assistant Professor,
Ms. Anamika Dhawan,Assistant Professor,"Biography
Education
MCA from VJTI
B.Sc(Computer Science) from Ramnarain Ruia College
Teaching
Current Courses
Distributed System and Cloud Computing
Ethical Hacking
Previous Courses
Advanced Java Programming
Robotic Process Automation
Distributed System and Cloud Computing
Computer Vision
Python"
Ms. Rohini Bagul,Assistant Professor,
Ms. Shweta Waghmare,Assistant Professor,"Biography
Education
MCA from Veermata Jijabai Technology Institute(VJTI)
B.Sc. (Information Technology ) from Vinayak Ganesh Vaze College, Mulund
 

Teaching
Current Courses
Networking with Linux Lab
Cyber Security and Digital Forensics
Advanced Java Theory
Advanced Web Technology
Previous Courses
Core and Advanced Python
Computer Organization and Architecture
Programming with JAVA
Web Programming"
Ms. Thara Naveen,Assistant Professor,
Ms. Alifiya Shaikh,Assistant Professor,
Ms. Mira Gohil,Assistant Professor,
Dr. Shiksha Dubey,Assistant Professor,"Biography
Education
Doctorate in Computer Application from VJTI, Mumbai
State Level Eligibility Test (SLET) qualified in Computer Applications, Pune University
Merit Award in 2016 for achieving 100% result in the subject taught
Teaching
Current Courses
Robotic Process Automation
Advanced Web Technologies
Previous Courses
Coding: Python, R, SQL, XML/XSL, LaTeX
Databases: SQL, SQLite
Web Dev: HTML, CSS
Miscellaneous: Academic research, teaching, training, consultation, LaTeX typesetting and publishing."
Mr. Santosh Jain,Assistant Professor,"Biography
Education
Master in Computer Application from Mumbai University.
Bachelor in Computer Application from Tilak Maharashtra Vidyapeeth, Pune
Teaching
Current Courses
User Interface Lab
Advanced Web Technologies"
Ms. Sushmitha Mary,Assistant Professor,
Ms. Rani Singh,Associate Professor of Practice,
Mr. Shubham Mishra,Assistant Professor,
Ms. Sweety Sahani,Assistant Professor,"Biography
Education
MCA from Banasthali Vidyapith, Rajasthan
B.Sc (Computer Science) from Jai Narain Vyas University, Jodhpur
Teaching
Current Courses
Vulnerability Assessment and Penetration Testing
Mobile Computing Lab
Advanced Web Technologies
Fundamental Web Technology
Web Technologies"
Ms. Anusri M.,Assistant Professor,
Ms. Kiran Dubey,Librarian,
